name,description_semantique,ingredients,instructions,category,difficulty,prep_time,taste_profile
Cancun Spritz,"Vodka forme la base de ce cocktail delicat, enrichi par Soda et Kahlua. Attaque subtile suivie de notes de carbonated. Une experience memorable a chaque gorgee.","[""50ml Vodka"", ""45ml Soda"", ""15ml Kahlua"", ""Lamelle de gingembre"", ""Glacons"", ""Poivre noir""]",1. Remplir le verre de glacons 2. Verser les ingredients directement dans le verre 3. Melanger doucement 5. Garnir selon votre preference,Tropical,Moyen,6,"{""Douceur"": 3.2, ""Acidite"": 1.5, ""Amertume"": 2.4, ""Force"": 4.2, ""Fraicheur"": 3.7}"
Modern Evening,Decouvrez ce cocktail rafraichissant ou le Brandy rencontre le Jus de cranberry dans une danse de saveurs. Triple Sec apporte la touche finale. Attaque subtile suivie de notes de fruit.,"[""50ml Brandy"", ""45ml Jus de cranberry"", ""30ml Triple Sec"", ""Fleur comestible"", ""Glacons"", ""Poivre noir""]","1. Dans un shaker, piler delicatement les ingredients frais 2. Ajouter les alcools et la glace 3. Shaker vigoureusement pendant 10 secondes 4. Filtrer dans un verre refroidi 5. Garnir selon votre preference",Aperitif,Moyen,7,"{""Douceur"": 3.1, ""Acidite"": 2.7, ""Amertume"": 1.7, ""Force"": 4.2, ""Fraicheur"": 1.6}"
Maui Fresh,"Cachaca forme la base de ce cocktail harmonieux, enrichi par Jus d'orange et Benedictine. Palette aromatique riche en frais et frais. Une experience exceptionnelle a chaque gorgee.","[""45ml Cachaca"", ""60ml Jus d'orange"", ""15ml Benedictine"", ""Lamelle de gingembre""]",1. Verser le premier ingredient au fond du verre 2. Utiliser le dos d'une cuillere pour superposer chaque couche 3. Proceder lentement pour preserver les couches distinctes 5. Garnir selon votre preference,Classic,Difficile,6,"{""Douceur"": 4.1, ""Acidite"": 2.2, ""Amertume"": 1.7, ""Force"": 4.3, ""Fraicheur"": 3.3}"
The Caribbean Journey,Laissez-vous seduire par ce audacieux cocktail ou Whisky scotch s'allie au Puree de fraise. Une pointe de Benedictine revele des saveurs subtiles. Notes dominantes de malt avec une finale douce.,"[""60ml Whisky scotch"", ""90ml Puree de fraise"", ""25ml Benedictine"", ""Noix de muscade rapee""]",1. Verser le premier ingredient au fond du verre 2. Utiliser le dos d'une cuillere pour superposer chaque couche 3. Proceder lentement pour preserver les couches distinctes 5. Garnir selon votre preference,Aperitif,Difficile,6,"{""Douceur"": 3.6, ""Acidite"": 1.6, ""Amertume"": 3.0, ""Force"": 4.3, ""Fraicheur"": 2.4}"
The Caribbean Dawn,Creation subtil associant Gin et Jus de citron jaune avec elegance. Benedictine complete ce tableau gustatif. Equilibre parfait entre agrumes et citrus. Pour ceux qui aiment surprendre.,"[""45ml Gin"", ""45ml Jus de citron jaune"", ""25ml Benedictine"", ""Fleur comestible"", ""Glacons""]",1. Remplir le verre de glacons 2. Verser les ingredients directement dans le verre 3. Melanger doucement 5. Garnir selon votre preference,Aperitif,Facile,3,"{""Douceur"": 2.6, ""Acidite"": 3.0, ""Amertume"": 1.7, ""Force"": 3.8, ""Fraicheur"": 3.2}"
Lightning de Bermuda,Creation intense associant Rhum brun et Jus de tomate avec elegance. Cointreau complete ce tableau gustatif. Notes dominantes de profond avec une finale douce. Pour les amateurs de nouveaute.,"[""45ml Rhum brun"", ""30ml Jus de tomate"", ""30ml Cointreau"", ""Olive verte"", ""Glacons""]",1. Remplir le verre de glacons 2. Verser les ingredients directement dans le verre 3. Melanger doucement 5. Garnir selon votre preference,Aperitif,Moyen,4,"{""Douceur"": 2.3, ""Acidite"": 2.4, ""Amertume"": 3.1, ""Force"": 4.0, ""Fraicheur"": 2.2}"
Flame de Venice,Le caractere du Rhum ambre s'exprime pleinement avec Jus d'orange et Blue Curacao dans ce cocktail refreshing. Complexite gustative revelant boise puis boise. Moment de partage.,"[""60ml Rhum ambre"", ""90ml Jus d'orange"", ""30ml Blue Curacao"", ""Branche de romarin"", ""Glacons""]",1. Verser le premier ingredient au fond du verre 2. Utiliser le dos d'une cuillere pour superposer chaque couche 3. Proceder lentement pour preserver les couches distinctes 5. Garnir avec branche de romarin,Refreshing,Difficile,5,"{""Douceur"": 3.9, ""Acidite"": 1.8, ""Amertume"": 2.1, ""Force"": 4.8, ""Fraicheur"": 3.5}"
Heaven de Jamaica,Decouvrez ce cocktail sophistique ou le Rhum brun rencontre le Lait de coco dans une danse de saveurs. Sirop simple apporte la touche finale. Notes dominantes de epice avec une finale veloutee.,"[""60ml Rhum brun"", ""60ml Lait de coco"", ""30ml Sirop simple"", ""Noix de muscade rapee"", ""Glacons""]",1. Verser le premier ingredient au fond du verre 2. Utiliser le dos d'une cuillere pour superposer chaque couche 3. Proceder lentement pour preserver les couches distinctes 5. Garnir selon votre preference,Classic,Facile,6,"{""Douceur"": 4.0, ""Acidite"": 1.5, ""Amertume"": 2.7, ""Force"": 4.7, ""Fraicheur"": 1.6}"
Flame de Bali,"Ce cocktail delicat revisite les classiques avec Tequila reposado, Jus de tomate et Amaretto. Profil gustatif marque par agave et une touche de savory. Une experience inoubliable.","[""45ml Tequila reposado"", ""90ml Jus de tomate"", ""15ml Amaretto"", ""Rondelle de citron vert""]",1. Combiner les ingredients dans le verre 2. Melanger et servir 5. Garnir avec rondelle de citron vert,Aperitif,Difficile,5,"{""Douceur"": 3.0, ""Acidite"": 2.3, ""Amertume"": 1.8, ""Force"": 4.0, ""Fraicheur"": 2.2}"
Desire de Shanghai,Decouvrez ce cocktail elegant ou le Tequila reposado rencontre le Jus de mangue dans une danse de saveurs. Sirop de gingembre apporte la touche finale. Bouquet de agave evoluant vers boise.,"[""60ml Tequila reposado"", ""45ml Jus de mangue"", ""20ml Sirop de gingembre"", ""Baton de cannelle""]",1. Shaker tous les ingredients sans glace pendant 10 secondes 2. Ajouter la glace et shaker a nouveau 15 secondes 3. Double filtrer dans le verre 5. Garnir selon votre preference,Tiki,Moyen,7,"{""Douceur"": 4.8, ""Acidite"": 1.5, ""Amertume"": 2.1, ""Force"": 4.5, ""Fraicheur"": 2.5}"
Horizon de Bermuda,Decouvrez ce cocktail elegant ou le Gin rencontre le Jus d'ananas dans une danse de saveurs. Baileys apporte la touche finale. Bouquet de herbes evoluant vers creme cafe.,"[""60ml Gin"", ""45ml Jus d'ananas"", ""20ml Baileys"", ""Baton de cannelle""]",1. Placer tous les ingredients dans un blender 2. Ajouter une tasse de glace pilee 3. Mixer jusqu'a obtenir une consistance lisse 4. Verser dans un verre hurricane 5. Garnir selon votre preference,Classic,Difficile,7,"{""Douceur"": 4.7, ""Acidite"": 1.5, ""Amertume"": 3.2, ""Force"": 4.0, ""Fraicheur"": 2.8}"
Bold Petal,Creation subtil associant Brandy et Ginger ale avec elegance. Benedictine complete ce tableau gustatif. Notes dominantes de fruit avec une finale persistante. Pour les amateurs de nouveaute.,"[""50ml Brandy"", ""60ml Ginger ale"", ""30ml Benedictine"", ""Noix de muscade rapee"", ""Glacons""]",1. Shaker tous les ingredients sans glace pendant 10 secondes 2. Ajouter la glace et shaker a nouveau 15 secondes 3. Double filtrer dans le verre 5. Garnir selon votre preference,Modern,Moyen,7,"{""Douceur"": 3.6, ""Acidite"": 1.5, ""Amertume"": 2.9, ""Force"": 3.4, ""Fraicheur"": 2.3}"
Lightning de Barcelona,"Ce cocktail subtil revisite les classiques avec Whisky bourbon, Jus de pomme et Benedictine. Attaque vive suivie de notes de chene. Une experience inoubliable.","[""50ml Whisky bourbon"", ""90ml Jus de pomme"", ""25ml Benedictine"", ""Olive verte""]",1. Placer les ingredients dans un verre a melange avec glace 2. Remuer delicatement a la cuillere pendant 30 secondes 3. Filtrer dans un verre refroidi 5. Garnir selon votre preference,Tropical,Facile,5,"{""Douceur"": 4.1, ""Acidite"": 2.2, ""Amertume"": 3.3, ""Force"": 3.9, ""Fraicheur"": 2.1}"
The Tangy Root,"Un cocktail sophistique a base de Rhum blanc, melange avec Jus d'ananas et rehausse de Baileys. Complexite gustative revelant canne puis tropical. Parfait pour les moments de detente.","[""50ml Rhum blanc"", ""60ml Jus d'ananas"", ""20ml Baileys"", ""Zeste de citron"", ""Glacons"", ""Angostura bitters""]",1. Shaker tous les ingredients sans glace pendant 10 secondes 2. Ajouter la glace et shaker a nouveau 15 secondes 3. Double filtrer dans le verre 5. Garnir avec zeste de citron,Classic,Moyen,8,"{""Douceur"": 4.5, ""Acidite"": 1.5, ""Amertume"": 2.4, ""Force"": 4.4, ""Fraicheur"": 2.6}"
Smoky Journey,"Ce digestif harmonieux combine harmonieusement Vodka et Jus d'ananas, avec une touche de Cointreau. Profil gustatif marque par pur et une touche de tropical. Ideal pour une pause rafraichissante.","[""45ml Vodka"", ""45ml Jus d'ananas"", ""25ml Cointreau"", ""Noix de muscade rapee"", ""Glacons"", ""Eau petillante""]",1. Verser le premier ingredient au fond du verre 2. Utiliser le dos d'une cuillere pour superposer chaque couche 3. Proceder lentement pour preserver les couches distinctes 5. Garnir selon votre preference,Digestif,Facile,6,"{""Douceur"": 4.2, ""Acidite"": 1.5, ""Amertume"": 2.4, ""Force"": 4.6, ""Fraicheur"": 3.4}"
Vine de Ibiza,Cocktail tropical intense celebrant Whisky irlandais dans toute sa splendeur. Jus de citron jaune et Amaretto completent l'ensemble. Palette aromatique riche en cereale et citrus.,"[""50ml Whisky irlandais"", ""60ml Jus de citron jaune"", ""25ml Amaretto"", ""Tranche d'ananas"", ""Glacons"", ""Sel de celeri""]",1. Combiner les ingredients dans le verre 2. Melanger et servir 5. Garnir avec tranche d'ananas,Tropical,Difficile,5,"{""Douceur"": 3.1, ""Acidite"": 3.2, ""Amertume"": 3.0, ""Force"": 4.0, ""Fraicheur"": 4.0}"
Morning de Cancun,Creation subtil associant Brandy et Ginger beer avec elegance. Blue Curacao complete ce tableau gustatif. Complexite gustative revelant fruit puis rond. Pour ceux qui aiment surprendre.,"[""45ml Brandy"", ""30ml Ginger beer"", ""25ml Blue Curacao"", ""Branche de romarin"", ""Glacons""]",1. Placer tous les ingredients dans un blender 2. Ajouter une tasse de glace pilee 3. Mixer jusqu'a obtenir une consistance lisse 4. Verser dans un verre hurricane 5. Garnir avec branche de romarin,Tropical,Moyen,6,"{""Douceur"": 4.1, ""Acidite"": 1.7, ""Amertume"": 1.9, ""Force"": 4.4, ""Fraicheur"": 4.3}"
The Pacific Mist,"Mezcal forme la base de ce cocktail subtil, enrichi par Soda et Grand Marnier. Sensation chaleureuse avec des accents de terreux. Une experience unique a chaque gorgee.","[""60ml Mezcal"", ""45ml Soda"", ""30ml Grand Marnier"", ""Rondelle d'orange"", ""Glacons"", ""Poivre noir""]",1. Placer tous les ingredients dans un blender 2. Ajouter une tasse de glace pilee 3. Mixer jusqu'a obtenir une consistance lisse 4. Verser dans un verre hurricane 5. Garnir avec rondelle d'orange,Tiki,Facile,6,"{""Douceur"": 2.7, ""Acidite"": 1.5, ""Amertume"": 1.6, ""Force"": 4.4, ""Fraicheur"": 3.2}"
Oriental Bliss,Harmonie elegant entre Mezcal vigoureux et Ginger ale delicat. Kahlua ajoute une touche finale. Profil gustatif marque par fume et une touche de carbonated. Pour les amateurs de saveurs authentiques.,"[""60ml Mezcal"", ""30ml Ginger ale"", ""15ml Kahlua"", ""Feuilles de menthe"", ""Glacons"", ""Eau petillante""]",1. Remplir le verre de glacons 2. Verser les ingredients directement dans le verre 3. Melanger doucement 5. Garnir avec feuilles de menthe,Tropical,Facile,3,"{""Douceur"": 4.6, ""Acidite"": 1.5, ""Amertume"": 3.3, ""Force"": 4.0, ""Fraicheur"": 3.9}"
The Crisp Mirage,"Ce aperitif subtil combine harmonieusement Rhum ambre et Nectar de peche, avec une touche de Campari. Bouquet de vanille evoluant vers boise. Ideal pour un voyage sensoriel.","[""45ml Rhum ambre"", ""30ml Nectar de peche"", ""25ml Campari"", ""Noix de muscade rapee"", ""Glacons""]",1. Placer tous les ingredients dans un blender 2. Ajouter une tasse de glace pilee 3. Mixer jusqu'a obtenir une consistance lisse 4. Verser dans un verre hurricane 5. Garnir selon votre preference,Aperitif,Facile,7,"{""Douceur"": 2.5, ""Acidite"": 1.5, ""Amertume"": 4.8, ""Force"": 3.6, ""Fraicheur"": 2.3}"
Bali Exotic,"Un convivial voyage sensoriel avec Whisky bourbon comme guide, Jus de mangue comme compagnon et Creme de menthe comme destination. Attaque vive suivie de notes de chene.","[""60ml Whisky bourbon"", ""60ml Jus de mangue"", ""25ml Creme de menthe"", ""Olive verte"", ""Glacons""]",1. Placer tous les ingredients dans un blender 2. Ajouter une tasse de glace pilee 3. Mixer jusqu'a obtenir une consistance lisse 4. Verser dans un verre hurricane 5. Garnir selon votre preference,Tiki,Moyen,7,"{""Douceur"": 3.6, ""Acidite"": 1.5, ""Amertume"": 3.2, ""Force"": 4.2, ""Fraicheur"": 2.2}"
The Fiery Lightning,Decouvrez ce cocktail audacieux ou le Gin rencontre le Ginger ale dans une danse de saveurs. Chambord apporte la touche finale. Profil gustatif marque par herbes et une touche de herbes.,"[""45ml Gin"", ""45ml Ginger ale"", ""15ml Chambord"", ""Lamelle de gingembre"", ""Glacons""]",1. Shaker tous les ingredients sans glace pendant 10 secondes 2. Ajouter la glace et shaker a nouveau 15 secondes 3. Double filtrer dans le verre 5. Garnir selon votre preference,Refreshing,Difficile,8,"{""Douceur"": 3.7, ""Acidite"": 1.5, ""Amertume"": 2.4, ""Force"": 4.1, ""Fraicheur"": 4.1}"
The French Twilight,Un melange audacieux et harmonieux de Tequila reposado avec Puree de fraise. Le Sirop de gingembre ajoute une dimension olfactive. Notes dominantes de vanille avec une finale persistante. Recommande pour les aperitifs entre amis.,"[""60ml Tequila reposado"", ""60ml Puree de fraise"", ""30ml Sirop de gingembre"", ""Lamelle de gingembre"", ""Glacons""]","1. Dans un shaker, piler delicatement les ingredients frais 2. Ajouter les alcools et la glace 3. Shaker vigoureusement pendant 10 secondes 4. Filtrer dans un verre refroidi 5. Garnir selon votre preference",Strong,Facile,5,"{""Douceur"": 3.3, ""Acidite"": 1.5, ""Amertume"": 3.5, ""Force"": 4.1, ""Fraicheur"": 1.8}"
Ibiza Punch,Une creation convivial ou le Whisky bourbon dialogue avec Jus d'ananas. Chambord orchestre cette rencontre. Complexite gustative revelant chene puis framboise. Emotion subtile garantie.,"[""45ml Whisky bourbon"", ""30ml Jus d'ananas"", ""15ml Chambord"", ""Baton de cannelle"", ""Sucre de canne""]",1. Verser le premier ingredient au fond du verre 2. Utiliser le dos d'une cuillere pour superposer chaque couche 3. Proceder lentement pour preserver les couches distinctes 5. Garnir selon votre preference,Refreshing,Moyen,6,"{""Douceur"": 4.3, ""Acidite"": 1.8, ""Amertume"": 1.8, ""Force"": 4.0, ""Fraicheur"": 3.1}"
Crisp Tale,"Le Brandy prend vie dans ce cocktail refreshing, marie au Jus de tomate et sublime par Blue Curacao. Equilibre parfait entre rond et chaleureux. Une exotique decouverte.","[""60ml Brandy"", ""60ml Jus de tomate"", ""15ml Blue Curacao"", ""Noix de muscade rapee"", ""Glacons"", ""Sel de celeri""]",1. Verser le premier ingredient au fond du verre 2. Utiliser le dos d'une cuillere pour superposer chaque couche 3. Proceder lentement pour preserver les couches distinctes 5. Garnir selon votre preference,Refreshing,Facile,7,"{""Douceur"": 3.3, ""Acidite"": 2.4, ""Amertume"": 3.2, ""Force"": 4.3, ""Fraicheur"": 2.1}"
Petal de Malibu,"Ce digestif subtil combine harmonieusement Tequila reposado et Soda, avec une touche de Midori. Attaque franche suivie de notes de boise. Ideal pour une fin de journee.","[""60ml Tequila reposado"", ""60ml Soda"", ""15ml Midori"", ""Baton de cannelle"", ""Glacons""]",1. Remplir le verre de glacons 2. Verser les ingredients directement dans le verre 3. Melanger doucement 5. Garnir selon votre preference,Digestif,Facile,4,"{""Douceur"": 2.3, ""Acidite"": 1.5, ""Amertume"": 3.1, ""Force"": 4.4, ""Fraicheur"": 2.7}"
Italian Flame,"Un cocktail sophistique a base de Rhum brun, melange avec Eau de rose et rehausse de Creme de menthe. Profil gustatif marque par melasse et une touche de epice. Parfait pour les afterworks.","[""45ml Rhum brun"", ""45ml Eau de rose"", ""30ml Creme de menthe"", ""Fleur comestible"", ""Glacons"", ""Sel de celeri""]",1. Remplir le verre de glacons 2. Verser les ingredients directement dans le verre 3. Melanger doucement 5. Garnir selon votre preference,Strong,Difficile,3,"{""Douceur"": 2.9, ""Acidite"": 1.5, ""Amertume"": 1.8, ""Force"": 4.6, ""Fraicheur"": 3.2}"
Mist de Tahiti,"Un exotique voyage sensoriel avec Rhum brun comme guide, Lait de coco comme compagnon et Aperol comme destination. Palette aromatique riche en profond et creamy.","[""50ml Rhum brun"", ""60ml Lait de coco"", ""25ml Aperol"", ""Feuilles de menthe""]",1. Ajouter tous les ingredients dans un shaker avec de la glace 2. Shaker energiquement pendant 15 secondes 3. Filtrer dans le verre de service 5. Garnir avec feuilles de menthe,Aperitif,Facile,7,"{""Douceur"": 2.9, ""Acidite"": 1.5, ""Amertume"": 4.5, ""Force"": 4.8, ""Fraicheur"": 3.0}"
Venice Fizz,"Ce cocktail subtil revisite les classiques avec Rhum ambre, Jus de citron jaune et Triple Sec. Complexite gustative revelant vanille puis orange. Une experience inoubliable.","[""45ml Rhum ambre"", ""45ml Jus de citron jaune"", ""30ml Triple Sec"", ""Baton de cannelle"", ""Glacons"", ""Sel de celeri""]",1. Ajouter tous les ingredients dans un shaker avec de la glace 2. Shaker energiquement pendant 15 secondes 3. Filtrer dans le verre de service 5. Garnir selon votre preference,Tropical,Difficile,8,"{""Douceur"": 3.2, ""Acidite"": 3.3, ""Amertume"": 2.0, ""Force"": 4.2, ""Fraicheur"": 4.3}"
Jamaica Smooth,"Ce cocktail delicat revisite les classiques avec Rhum blanc, Jus de pomme et Sirop simple. Notes dominantes de canne avec une finale douce. Une experience inoubliable.","[""60ml Rhum blanc"", ""30ml Jus de pomme"", ""30ml Sirop simple"", ""Lamelle de gingembre""]",1. Remplir le verre de glacons 2. Verser les ingredients directement dans le verre 3. Melanger doucement 5. Garnir selon votre preference,Tropical,Difficile,6,"{""Douceur"": 3.5, ""Acidite"": 2.1, ""Amertume"": 3.1, ""Force"": 3.4, ""Fraicheur"": 2.5}"
The Atlantic Storm,Laissez-vous seduire par ce rafraichissant cocktail ou Gin s'allie au Puree de framboise. Une pointe de Sirop d'orgeat revele des notes cachees. Palette aromatique riche en herbes et amande fleur.,"[""60ml Gin"", ""30ml Puree de framboise"", ""25ml Sirop d'orgeat"", ""Tranche d'ananas"", ""Glacons""]",1. Verser le premier ingredient au fond du verre 2. Utiliser le dos d'une cuillere pour superposer chaque couche 3. Proceder lentement pour preserver les couches distinctes 5. Garnir avec tranche d'ananas,Aperitif,Difficile,7,"{""Douceur"": 4.5, ""Acidite"": 2.1, ""Amertume"": 2.1, ""Force"": 3.6, ""Fraicheur"": 2.6}"
Italian Vine,Cocktail classic harmonieux celebrant Whisky bourbon dans toute sa splendeur. Nectar de peche et Benedictine completent l'ensemble. Equilibre parfait entre vanille et chene.,"[""60ml Whisky bourbon"", ""30ml Nectar de peche"", ""30ml Benedictine"", ""Zeste de citron"", ""Eau petillante""]",1. Ajouter tous les ingredients dans un shaker avec de la glace 2. Shaker energiquement pendant 15 secondes 3. Filtrer dans le verre de service 5. Garnir avec zeste de citron,Classic,Moyen,5,"{""Douceur"": 3.7, ""Acidite"": 1.5, ""Amertume"": 3.2, ""Force"": 4.0, ""Fraicheur"": 2.7}"
Mumbai Spritz,Ce cocktail strong met en valeur le Pisco accompagne de Jus de pamplemousse frais. Amaretto apporte un equilibre parfait. Equilibre parfait entre floral et citrus.,"[""60ml Pisco"", ""90ml Jus de pamplemousse"", ""25ml Amaretto"", ""Zeste de citron"", ""Glacons""]","1. Dans un shaker, piler delicatement les ingredients frais 2. Ajouter les alcools et la glace 3. Shaker vigoureusement pendant 10 secondes 4. Filtrer dans un verre refroidi 5. Garnir avec zeste de citron",Strong,Facile,4,"{""Douceur"": 3.0, ""Acidite"": 3.0, ""Amertume"": 3.1, ""Force"": 4.3, ""Fraicheur"": 3.5}"
Fresh Fog,"Un audacieux voyage sensoriel avec Cachaca comme guide, Creme de coco comme compagnon et Grand Marnier comme destination. Notes dominantes de frais avec une finale epicee.","[""60ml Cachaca"", ""60ml Creme de coco"", ""30ml Grand Marnier"", ""Lamelle de gingembre"", ""Glacons"", ""Sel de celeri""]",1. Ajouter tous les ingredients dans un shaker avec de la glace 2. Shaker energiquement pendant 15 secondes 3. Filtrer dans le verre de service 5. Garnir selon votre preference,Classic,Facile,8,"{""Douceur"": 3.5, ""Acidite"": 1.5, ""Amertume"": 2.5, ""Force"": 3.9, ""Fraicheur"": 3.4}"
Frozen Thunder,Le caractere du Mezcal s'exprime pleinement avec Jus de pomme et Chambord dans ce cocktail digestif. Complexite gustative revelant fume puis terreux. Moment de partage.,"[""50ml Mezcal"", ""90ml Jus de pomme"", ""20ml Chambord"", ""Rondelle d'orange"", ""Glacons""]",1. Ajouter tous les ingredients dans un shaker avec de la glace 2. Shaker energiquement pendant 15 secondes 3. Filtrer dans le verre de service 5. Garnir avec rondelle d'orange,Digestif,Facile,7,"{""Douceur"": 4.0, ""Acidite"": 1.9, ""Amertume"": 2.4, ""Force"": 4.3, ""Fraicheur"": 3.1}"
Cape Town Cooler,Creation harmonieux associant Rhum ambre et Nectar de litchi avec elegance. Amaretto complete ce tableau gustatif. Palette aromatique riche en boise et tropical. Pour les amateurs de nouveaute.,"[""50ml Rhum ambre"", ""45ml Nectar de litchi"", ""15ml Amaretto"", ""Olive verte"", ""Glacons""]","1. Dans un shaker, piler delicatement les ingredients frais 2. Ajouter les alcools et la glace 3. Shaker vigoureusement pendant 10 secondes 4. Filtrer dans un verre refroidi 5. Garnir selon votre preference",Aperitif,Facile,5,"{""Douceur"": 4.4, ""Acidite"": 1.5, ""Amertume"": 2.7, ""Force"": 3.8, ""Fraicheur"": 2.2}"
Vienna Urban,Decouvrez ce cocktail sophistique ou le Mezcal rencontre le Jus de pomme dans une danse de saveurs. Miel liquide apporte la touche finale. Notes dominantes de terreux avec une finale persistante.,"[""45ml Mezcal"", ""90ml Jus de pomme"", ""30ml Miel liquide"", ""Feuilles de menthe""]","1. Dans un shaker, piler delicatement les ingredients frais 2. Ajouter les alcools et la glace 3. Shaker vigoureusement pendant 10 secondes 4. Filtrer dans un verre refroidi 5. Garnir avec feuilles de menthe",Tiki,Facile,5,"{""Douceur"": 4.9, ""Acidite"": 1.9, ""Amertume"": 2.4, ""Force"": 4.1, ""Fraicheur"": 3.4}"
Malibu Royal,"Un cocktail sophistique a base de Rhum blanc, melange avec Soda et rehausse de Midori. Equilibre parfait entre leger et carbonated. Parfait pour les soirees elegantes.","[""60ml Rhum blanc"", ""90ml Soda"", ""15ml Midori"", ""Olive verte"", ""Glacons""]",1. Placer les ingredients dans un verre a melange avec glace 2. Remuer delicatement a la cuillere pendant 30 secondes 3. Filtrer dans un verre refroidi 5. Garnir selon votre preference,Modern,Facile,4,"{""Douceur"": 3.0, ""Acidite"": 1.5, ""Amertume"": 3.2, ""Force"": 4.2, ""Fraicheur"": 3.8}"
Miami Cooler,"Tequila reposado forme la base de ce cocktail harmonieux, enrichi par Soda et Benedictine. Sensation complexe avec des accents de vanille. Une experience exceptionnelle a chaque gorgee.","[""45ml Tequila reposado"", ""60ml Soda"", ""20ml Benedictine"", ""Tranche d'ananas""]",1. Verser le premier ingredient au fond du verre 2. Utiliser le dos d'une cuillere pour superposer chaque couche 3. Proceder lentement pour preserver les couches distinctes 5. Garnir avec tranche d'ananas,Classic,Moyen,7,"{""Douceur"": 2.6, ""Acidite"": 1.5, ""Amertume"": 3.4, ""Force"": 3.8, ""Fraicheur"": 3.9}"
Velvet Escape,Laissez-vous seduire par ce audacieux cocktail ou Whisky bourbon s'allie au Puree de fraise. Une pointe de Campari revele des saveurs subtiles. Attaque subtile suivie de notes de caramel.,"[""45ml Whisky bourbon"", ""60ml Puree de fraise"", ""15ml Campari"", ""Zeste de citron""]","1. Dans un shaker, piler delicatement les ingredients frais 2. Ajouter les alcools et la glace 3. Shaker vigoureusement pendant 10 secondes 4. Filtrer dans un verre refroidi 5. Garnir avec zeste de citron",Tropical,Moyen,7,"{""Douceur"": 2.6, ""Acidite"": 1.5, ""Amertume"": 3.4, ""Force"": 5.0, ""Fraicheur"": 1.5}"
The Bright Tale,Une creation convivial ou le Whisky bourbon dialogue avec Ginger beer. Sirop de gingembre orchestre cette rencontre. Attaque vive suivie de notes de vanille. Emotion pure garantie.,"[""50ml Whisky bourbon"", ""60ml Ginger beer"", ""15ml Sirop de gingembre"", ""Rondelle d'orange"", ""Glacons""]",1. Placer tous les ingredients dans un blender 2. Ajouter une tasse de glace pilee 3. Mixer jusqu'a obtenir une consistance lisse 4. Verser dans un verre hurricane 5. Garnir avec rondelle d'orange,Tiki,Facile,6,"{""Douceur"": 3.0, ""Acidite"": 1.7, ""Amertume"": 2.9, ""Force"": 4.2, ""Fraicheur"": 4.4}"
Dublin Aromatic,"Un rafraichissant voyage sensoriel avec Whisky bourbon comme guide, Nectar de peche comme compagnon et Baileys comme destination. Attaque vive suivie de notes de chene.","[""45ml Whisky bourbon"", ""90ml Nectar de peche"", ""25ml Baileys"", ""Rondelle d'orange"", ""Eau petillante""]",1. Placer les ingredients dans un verre a melange avec glace 2. Remuer delicatement a la cuillere pendant 30 secondes 3. Filtrer dans un verre refroidi 5. Garnir avec rondelle d'orange,Digestif,Facile,4,"{""Douceur"": 4.0, ""Acidite"": 1.5, ""Amertume"": 2.4, ""Force"": 4.2, ""Fraicheur"": 3.4}"
Velvet Evening,Ce cocktail modern met en valeur le Whisky irlandais accompagne de Jus de pomme frais. Chambord apporte un equilibre parfait. Bouquet de miel evoluant vers miel.,"[""50ml Whisky irlandais"", ""30ml Jus de pomme"", ""30ml Chambord"", ""Quartier de pamplemousse"", ""Glacons"", ""Eau petillante""]",1. Placer tous les ingredients dans un blender 2. Ajouter une tasse de glace pilee 3. Mixer jusqu'a obtenir une consistance lisse 4. Verser dans un verre hurricane 5. Garnir selon votre preference,Modern,Facile,7,"{""Douceur"": 4.4, ""Acidite"": 2.2, ""Amertume"": 2.2, ""Force"": 3.6, ""Fraicheur"": 3.2}"
The Coastal Day,Decouvrez ce cocktail sophistique ou le Rhum blanc rencontre le Puree de framboise dans une danse de saveurs. Miel liquide apporte la touche finale. Bouquet de leger evoluant vers miel floral.,"[""50ml Rhum blanc"", ""30ml Puree de framboise"", ""30ml Miel liquide"", ""Zeste de citron"", ""Poivre noir""]",1. Remplir le verre de glacons 2. Verser les ingredients directement dans le verre 3. Melanger doucement 5. Garnir avec zeste de citron,Tropical,Facile,5,"{""Douceur"": 4.1, ""Acidite"": 2.0, ""Amertume"": 2.9, ""Force"": 4.3, ""Fraicheur"": 1.8}"
The Urban Wave,"Un cocktail exotique a base de Tequila reposado, melange avec Jus de cranberry et rehausse de Sirop simple. Profil gustatif marque par agave et une touche de vanille. Parfait pour les fetes.","[""60ml Tequila reposado"", ""60ml Jus de cranberry"", ""30ml Sirop simple"", ""Noix de muscade rapee"", ""Glacons""]",1. Ajouter tous les ingredients dans un shaker avec de la glace 2. Shaker energiquement pendant 15 secondes 3. Filtrer dans le verre de service 5. Garnir selon votre preference,Modern,Facile,5,"{""Douceur"": 4.0, ""Acidite"": 3.1, ""Amertume"": 3.1, ""Force"": 4.0, ""Fraicheur"": 3.0}"
